model_name,document_index,similarity_score,comment
word2vec_stemmed_cbow_win2_dim100.model,0,1.0,değirmen su akı oluk
word2vec_stemmed_cbow_win2_dim100.model,1,0.9256028292005467,beyaz
word2vec_stemmed_cbow_win2_dim100.model,2,0.043205689264687666,ağabey
word2vec_stemmed_cbow_win2_dim100.model,3,0.9455443480913781,yen
word2vec_stemmed_cbow_win2_dim100.model,4,0.0,
word2vec_stemmed_cbow_win2_dim100.model,5,0.042254283161818784,dom
word2vec_stemmed_cbow_win2_dim100.model,6,0.9441044161234764,gerekmez ot topluluk
word2vec_stemmed_cbow_win2_dim100.model,7,0.983016405135734,hayvan ilk süt
word2vec_stemmed_cbow_win2_dim100.model,8,0.9771945167796318,bahçe ek kenar çalı çevir
word2vec_stemmed_cbow_win2_dim100.model,9,0.5849280410602784,ağır
word2vec_stemmed_cbow_win2_dim100.model,10,0.9729873368304508,pamuk iplik dokunan üzer hassas şey bulgur pamuk v
word2vec_stemmed_cbow_win2_dim100.model,11,0.15563912943297745,öle
word2vec_stemmed_cbow_win2_dim100.model,12,0.6651021670514943,i̇şte
word2vec_stemmed_cbow_win2_dim100.model,13,0.6651021670514943,i̇şte
word2vec_stemmed_cbow_win2_dim100.model,14,0.9516009153093758,ek meyil
word2vec_stemmed_cbow_win2_dim100.model,15,0.9823164602086777,gittik yer kızar bir karı tür aart ayran yoğurt süt kullanılır
word2vec_stemmed_cbow_win2_dim100.model,16,-0.02185536117757312,emanet
word2vec_stemmed_cbow_win2_dim100.model,17,0.7164445913892907,düşünme gitmek
word2vec_stemmed_cbow_win2_dim100.model,18,0.9741162947475005,serçe benzer bir kuş
word2vec_stemmed_cbow_win2_dim100.model,19,0.9340642147060446,boş boş
word2vec_stemmed_cbow_win2_dim100.model,20,0.0,
word2vec_stemmed_cbow_win2_dim100.model,21,0.9589266401184928,ça ça kurulan yer
word2vec_stemmed_cbow_win2_dim100.model,22,0.48488251495288465,i̇şçi yayl çadır
