document_index,similarity_score,comment
0,1.0000000000000002,değirmene su akıtan oluk
1,0.4222205560470848,beyaz
2,-0.04560134602633458,ağabey
3,0.5164994607819051,yeni
4,0.0,
5,0.01593819768924544,domuz
6,0.5000321591520707,gerekmez ot topluluğu
7,0.5508609985712853,hayvanların ilk sütü
8,0.4688374396455469,bahçe ekin kenarını çalıyla çevirme
9,0.19804119590314392,ağır
10,0.5975113881942821,pamuk ipliğinden dokunan üzerine hassas şeyleri bulgur pamuk v
11,-0.007220162987719608,ölesice
12,0.19828031965164727,i̇şte
13,0.19828031965164727,i̇şte
14,0.08461713487212058,eğim meyil
15,0.6755090841333089,gittiği yeri kızartan bir karınca türü aartı ayran yoğurt süt kullanılır
16,0.0711542435152043,emanet
17,0.26395815530657446,düşünmeden gitmek
18,0.7301478407202665,serçeye benzer bir kuş
19,0.08959151789979326,boşu boşuna
20,0.0,
21,0.605805852075843,çadır çadır kurulan yer
22,0.05029021904124893,i̇şçi yayla çadırı
23,0.10993768746607727,dua etme
24,0.0711542435152043,emanet
25,0.12752280547687764,tavuğun yaşlısı
26,0.6778771401087649,bir tür ağaç
27,0.01452630666574281,i̇mece
28,0.4073898141647069,karşı yamaç
29,-0.015908757390635297,ayşe
30,0.6835693671730543,durup kalmak bir durum karşısında
31,0.050593298912533044,tertemiz
32,0.29754567757099415,alnının ortasında beyaz
33,0.07524759131378275,arzular
34,0.4263598932755479,giysi çamaşır
35,0.40073528073679165,aşağı
36,0.21115263289797048,şaşkın şaşkın
37,0.5272549075401922,ticari olmayan sebze bahçesi
38,0.5702764155750081,dolma tüfekleri atışa hazırlamak kullanılan kapsül saçma barut kurşun
39,-0.14185202420350085,yanak
40,0.4080280060421575,kadın eş karı
41,0.041715869684877144,başım dönüyor halsizim
42,0.0566091668890358,soğuk
43,0.6488019694706519,bir bitki türü
44,0.6744762059486944,bir bitki eğrelti otu
45,0.29699950976639256,tam tersi aksi
46,-0.011492041223018962,kızmak
47,0.3364131240097223,yiyecek
48,0.38403042783684516,hanımın kız kardeşinin kocası
49,0.06580757978416041,bacak
50,0.26250255584418636,patlıcan
51,0.4540961567856606,hanımın kız kardeşi
52,0.031152922313777212,yıldırım
53,0.6583397097482814,kokusu kötü bir böcek
54,0.6527717772321102,bir çeşit serçe
55,0.6597716349168594,eğimli ağaçsız yer
56,0.4710142930466822,yufka ekmeğin biraz kalın olanı sıcak bazlamanın yenilmesi hoştur
57,0.7494028451656023,çeyiz anlamında kullanılan bir söz
58,0.7007766553850557,toprak kazmaya yarayan ucu sivri kürek
59,0.2045090093306032,kurutulmuş incir
60,0.3357233693454926,sarmak
61,0.5197480409853366,atların semer eğeri çıkarıldıktan sonra üşümemesi sırtına bağlanan
62,0.13311906208037597,öğrenmek toprağı kazmak
63,0.5602485204519082,sıkı fazla
64,0.5484445137952016,elinden iyi iş gelen eline çabuk
65,0.18663994359419767,bedava
66,0.3016041382281338,geçen sene
67,-0.14808888861520142,hala
68,0.0471308957275557,tohumluk
69,0.18628371887215273,biraz
70,0.7176261330098798,bir
71,0.07982192527852103,güveç
72,0.6793909707856525,yayıkdaki ayranı karıştırmaya yarayan çubuk
73,0.1366862672551376,önce
74,0.019906585443213325,sürahi
75,0.4967816487832229,camuz yavrusu
76,0.4107337579543938,çiftleşme zamanı gelmiş dişi inek
77,0.6029393637543944,i̇çinde giyecek v dolu kalın bez
78,0.688802775217548,ekin tarlaları arasında ekilip sürülmemiş otu bol olan yer
79,0.2660387472579435,bağ bahçe
80,-0.09360350493514369,salatalık
81,0.25357759301886257,kül rengi
82,-0.023346105449514796,takke
83,0.05303641591464248,kapşon
84,0.6990992973799488,hayvanların hızlı koşmasını önlemek iki ayağını birbirine bağlayan ip
85,0.3314548704617327,kadar kadarcık
86,0.0628443238256412,sefer
87,0.23531889884600593,bunalmak
88,0.6699021419178178,ucu kıvrık keskin bıçak
89,0.5302281315569016,i̇nek yavrusu
90,-0.008195683481953278,i̇neğin yavrulaması
91,0.5389770958388282,erkek çocuk pipisi
92,0.19509314177285234,i̇çine girilemeyen çalılık
93,0.6267991334237001,bir çeşit örümcek türü hayvanlara iğne atar
94,0.8810766865935362,su göleti
95,0.19730673618577538,çağlayan
96,0.6225555702367688,akarsuyun ani eğim nedeniyle hızlı aktığı yer şelale kadar dik değil
97,0.42927067863357105,sulu kar
98,0.3524756609076396,olgunlaşmamış karpuz kavun
99,0.2399428369722104,laf kalabalığı
100,0.6694712659709192,büyük fare
101,0.6625485726842326,bir kumaş türü
102,0.5758423319544582,üzerinde olmayan kel
103,0.10874901989811314,soyulmuş kel
104,0.16715173470580905,pınar kaynak
105,-0.008758616256024643,i̇natlaşmak
106,0.5252308488025428,samanından ayrılmış fakat elenmemiş tahıl yığını
107,0.21525794696599276,yepyeni pırıl pırıl
108,0.29575349449806043,açılmamış tavuk
109,0.059418881872919854,çeyiz
110,0.5145643192674796,domuz yavrusu
111,-0.058299211129943795,ıslanmak
112,0.19637530406739778,böğürtlen çalılığı
113,0.38108738017565347,madeni para
114,-0.13716767592713427,tamamen
115,0.29132528270033264,bozulmuş yumurta
116,0.3403937724275006,kavgacı oyun bozan
117,0.334880044535087,oyun bozmak
118,0.089040432415955,aman dil eme k
119,0.10471995910538213,ağustos böceği
120,0.6510016724531854,bir çeşit kuş türü
121,0.6339512767261362,tohumlu bir çeşit bitki
122,0.6527717772321102,bir çeşit serçe
123,0.026356278457395355,tırnak izi
124,0.5620545639954591,sıvı katı olmayan
125,0.2084805505990857,tahtaravelli
126,0.17786522371891517,çizgi
127,0.44975342044903666,geveze yaramaz iyilik bilmez
128,0.263528329584381,maki bitkisi çeşidi
129,-0.13716767592713427,tamamen
130,0.7143768080114733,küçük helkecik
131,0.42633270330785844,i̇şe yaramaz
132,0.013239279545646777,baykuş
133,-0.19959204912265677,hindi
134,0.5685600401152424,kısa boylu
135,0.30537400387811175,sigara
136,0.03666168219353968,civciv
137,0.24487834138172007,hartlap ağacının meyvesi
138,0.08793153415470581,cevap
139,0.5103833151694317,genellikle tarlaları temizlemek toplanan taş yığını
140,0.33375481158819065,közde pişmiş et
141,0.6922156096202221,yolların çakıştığı yer
142,-0.08481619067038192,melez
143,0.7283337430541527,kuş avlamak kullanılan lastiklerde içine taş konulan deri bölüm
144,0.6539666421826067,bir böcek türü
145,0.19124826990905086,oğlağın büyüğü
146,0.24387059828086402,teke
147,-0.010994037838598689,çekirge
148,-0.20287776278573566,ölçek
149,0.7419620958958821,tahtadan yapılmış kg buğday alabilen tahıl ölçeği
150,0.43448091243047493,pirincin tarladaki hali
151,0.14359166813380989,cevizin yarısı
152,0.18625322827274793,bulaşık
153,0.7112497530351922,traktörde römorkun üzerine tahtalarla ilave yapılmış şekli bir çeten saman
154,-0.006701497491504836,fidan
155,0.6401215654147946,akarsu yatağında büyük virajlar nedeniyle suyun bir süre ters akıp tekrar
156,0.7094332299175381,yumurtayla yapılan bir yemek türü
157,-0.013343320346429599,tutam
158,0.6519502946228901,menengiç bir bitki
159,0.6353670222208059,kırılması zor olan ceviz çıtırık
160,0.037855289429282415,pamuk tohumu
161,0.21802305020704732,yıkanmak
162,0.03731720391830652,serçe
163,0.7010703542406358,küçük parça
164,0.7155178773648251,bir anda
165,0.019906585443213325,sürahi
166,0.8035471498913009,i̇çi kalaylı küçük bakır bakraç litre su alır
167,0.6785326729379961,tarla bahçelerin kenarındaki çitleri örmek kullanılan çalılar
168,0.6933779653834985,taşlarla oynanan bir oyun
169,0.685868256837403,ağacın kollarının ilk ayrıldığı yer
170,0.6809727575520876,büyük tahta kaşık yannıktan iki çömçe ayran al
171,0.7203051967137232,keçi kılından dokunan yaygı olarak kullanılan düz desensiz dokuma
172,0.14264810036215536,davulun tokmağı
173,0.6924288813776713,tohumlu bir ağaç
174,0.4734923779414396,yukarı doğru
175,-0.005966019677374673,cepken
176,0.4862159064494302,ev
177,0.0471308957275557,tohumluk
178,0.07953421365557539,dolma tüfeğin kötüsü
179,0.01623257189918044,dantel
180,0.12865168443523792,tarlanın nemini alması
181,0.7686614573892225,küçük bir hareket kıpırtı
182,0.5242541210102774,payandalık yapmak dayak durda unlukları beygire yükleyelim
183,0.12323592410747528,eskimek
184,0.1366862672551376,önce
185,0.09027194867295915,başla bakayım
186,0.03394769374258199,mahsustan
187,0.012544961130643698,bak
188,0.16599438740569616,delilenme
189,0.17193078952515783,sürekli dönmemek üzere
190,0.04819152790002371,tekme
191,0.6890913098120661,tarhana aşı karıştırmaya yarayan aygıt
192,0.17506039713834193,toplamak
193,0.7101381260263417,bir sonraki gün
194,0.08854233682915331,devirde
195,0.08211535115440909,ötekisinde
196,0.07522704748738729,teyze
197,-0.08307507676120184,gir
198,0.15123282851540082,girmek
199,0.5288914029968982,fazla taşkın
200,0.05118920960884421,yarık yarık
201,0.7226739164221252,büyük taş
202,0.2081622859563455,sıkı
203,0.7101401319118948,çitler kullanılan ağaç kazıklar bahçenin ağılı bir yük dikeç gerek
204,0.0002523648671389784,anahtar
205,0.414661268874861,güzel konuşan
206,0.03264057369263178,kilitlemek
207,-0.07910254368132764,dur
208,-0.06468163179326532,dinle hele
209,0.3254452050343358,aniden ortaya çıkmak
210,0.6469890312261517,ekin sapını patosa atmaya yarayan alet
211,0.04242477014267729,çekiştirmek
212,0.2462237775878728,takla
213,0.04037986794730278,durdu
214,0.2462237775878728,takla
215,0.7367360422241733,büyük bakır kazan
216,0.47752512051931917,çamaşır yıkamak deri perşembe günü anam yuyacak
217,-0.008437196717158,külot
218,0.6107608246828997,pilav maraş tarhanası aşure yapımında kullanılan değlipte dövülmüş
219,0.04514382378229344,oğul
220,-0.04780059967730556,duvak
221,0.11513652188997517,dut
222,0.6274530725345078,rüzgarın ulaşmadığı yer
223,0.6442829945356496,bir şeyin yan tarafı binaların yan tarafı insan yanakları
224,-0.13481674010717157,dökülüyor
225,0.7119817248278846,bir yemek türü hamurdan yapılır
226,0.14473627938192732,kümes
227,0.17424481833905248,dünürcü
228,0.41461309446404626,tarla payı
