document_index,similarity_score,comment
0,1.0,değirmen su akı oluk
1,0.0,beyaz
2,0.0,ağabey
3,0.0,yen
4,0.0,
5,0.0,dom
6,0.0,gerekmez ot topluluk
7,0.0,hayvan ilk süt
8,0.0,bahçe ek kenar çalı çevir
9,0.0,ağır
10,0.0,pamuk iplik dokunan üzer hassas şey bulgur pamuk v
11,0.0,öle
12,0.0,i̇şte
13,0.0,i̇şte
14,0.0,ek meyil
15,0.0,gittik yer kızar bir karı tür aart ayran yoğurt süt kullanılır
16,0.0,emanet
17,0.0,düşünme gitmek
18,0.0,serçe benzer bir kuş
19,0.0,boş boş
20,0.0,
21,0.0,ça ça kurulan yer
22,0.0,i̇şçi yayl çadır
23,0.0,du etm
24,0.0,emanet
25,0.0,tavuk yaş
26,0.0,bir tür ağaç
27,0.0,i̇mece
28,0.0,karş yamaç
29,0.0,ayşe
30,0.0,durup kalmak bir dur karşı
31,0.0,terte
32,0.0,alnı orta beyaz
33,0.0,arzu
34,0.0,giys çamaşır
35,0.0,aşak
36,0.0,şaşk şaşk
37,0.0,ticari olmayan sebz bahçe
38,0.0,dolm tüfek atış hazırlamak kullanılan kapsül saçm barut kurş
39,0.0,yanak
40,0.0,kat eş kar
41,0.0,baş dönüyor halsiz
42,0.0,soğuk
43,0.0,bir bitki tür
44,0.0,bir bitki eğrel ot
45,0.0,tam ters aksi
46,0.0,kızmak
47,0.0,yiyecek
48,0.0,han kız kardeş koca
49,0.0,bacak
50,0.0,patlıcan
51,0.0,han kız kardeş
52,0.0,yıldır
53,0.0,koku kötü bir böcek
54,0.0,bir çeşit serç
55,0.0,eğim ağaçs yer
56,0.0,yufk ekmek biraz kal olan sıcak bazlama yenilme hoş
57,0.0,çe anlam kullanılan bir söz
58,0.0,toprak kazma yarayan uç sivr kürek
59,0.0,kurutul incir
60,0.0,sarmak
61,0.0,atlar semer eğer çıkarıldık sonr üşümeme sırt bağlanan
62,0.0,öğrenmek toprak kazmak
63,0.0,sık fazl
64,0.0,elin iyi iş gelen elin çabuk
65,0.0,bedav
66,0.0,geçen sen
67,0.0,hal
68,0.0,tohumluk
69,0.0,biraz
70,0.0,bir
71,0.0,güveç
72,0.0,yayık ayran karıştırma yarayan çubuk
73,0.0,önç
74,0.0,sürahi
