document_index,similarity_score,comment
0,1.0000000000000002,değirmene su akıtan oluk
1,0.0,beyaz
2,0.0,ağabey
3,0.0,yeni
4,0.0,
5,0.0,domuz
6,0.0,gerekmez ot topluluğu
7,0.0,hayvanların ilk sütü
8,0.0,bahçe ekin kenarını çalıyla çevirme
9,0.0,ağır
10,0.0,pamuk ipliğinden dokunan üzerine hassas şeyleri bulgur pamuk v
11,0.0,ölesice
12,0.0,i̇şte
13,0.0,i̇şte
14,0.0,eğim meyil
15,0.0,gittiği yeri kızartan bir karınca türü aartı ayran yoğurt süt kullanılır
16,0.0,emanet
17,0.0,düşünmeden gitmek
18,0.0,serçeye benzer bir kuş
19,0.0,boşu boşuna
20,0.0,
21,0.0,çadır çadır kurulan yer
22,0.0,i̇şçi yayla çadırı
23,0.0,dua etme
24,0.0,emanet
25,0.0,tavuğun yaşlısı
26,0.0,bir tür ağaç
27,0.0,i̇mece
28,0.0,karşı yamaç
29,0.0,ayşe
30,0.0,durup kalmak bir durum karşısında
31,0.0,tertemiz
32,0.0,alnının ortasında beyaz
33,0.0,arzular
34,0.0,giysi çamaşır
35,0.0,aşağı
36,0.0,şaşkın şaşkın
37,0.0,ticari olmayan sebze bahçesi
38,0.0,dolma tüfekleri atışa hazırlamak kullanılan kapsül saçma barut kurşun
39,0.0,yanak
40,0.0,kadın eş karı
41,0.0,başım dönüyor halsizim
42,0.0,soğuk
43,0.0,bir bitki türü
44,0.0,bir bitki eğrelti otu
45,0.0,tam tersi aksi
46,0.0,kızmak
47,0.0,yiyecek
48,0.0,hanımın kız kardeşinin kocası
49,0.0,bacak
50,0.0,patlıcan
51,0.0,hanımın kız kardeşi
52,0.0,yıldırım
53,0.0,kokusu kötü bir böcek
54,0.0,bir çeşit serçe
55,0.0,eğimli ağaçsız yer
56,0.0,yufka ekmeğin biraz kalın olanı sıcak bazlamanın yenilmesi hoştur
57,0.0,çeyiz anlamında kullanılan bir söz
58,0.0,toprak kazmaya yarayan ucu sivri kürek
59,0.0,kurutulmuş incir
60,0.0,sarmak
61,0.0,atların semer eğeri çıkarıldıktan sonra üşümemesi sırtına bağlanan
62,0.0,öğrenmek toprağı kazmak
63,0.0,sıkı fazla
64,0.0,elinden iyi iş gelen eline çabuk
65,0.0,bedava
66,0.0,geçen sene
67,0.0,hala
68,0.0,tohumluk
69,0.0,biraz
70,0.0,bir
71,0.0,güveç
72,0.0,yayıkdaki ayranı karıştırmaya yarayan çubuk
73,0.0,önce
74,0.0,sürahi
75,0.0,camuz yavrusu
76,0.0,çiftleşme zamanı gelmiş dişi inek
77,0.0,i̇çinde giyecek v dolu kalın bez
78,0.0,ekin tarlaları arasında ekilip sürülmemiş otu bol olan yer
79,0.0,bağ bahçe
80,0.0,salatalık
81,0.0,kül rengi
82,0.0,takke
83,0.0,kapşon
84,0.0,hayvanların hızlı koşmasını önlemek iki ayağını birbirine bağlayan ip
85,0.0,kadar kadarcık
86,0.0,sefer
87,0.0,bunalmak
88,0.0,ucu kıvrık keskin bıçak
89,0.0,i̇nek yavrusu
90,0.0,i̇neğin yavrulaması
91,0.0,erkek çocuk pipisi
92,0.1795239832941968,i̇çine girilemeyen çalılık
93,0.0,bir çeşit örümcek türü hayvanlara iğne atar
94,0.0,su göleti
95,0.0,çağlayan
96,0.0,akarsuyun ani eğim nedeniyle hızlı aktığı yer şelale kadar dik değil
97,0.0,sulu kar
98,0.0,olgunlaşmamış karpuz kavun
99,0.0,laf kalabalığı
100,0.0,büyük fare
101,0.0,bir kumaş türü
102,0.0,üzerinde olmayan kel
103,0.0,soyulmuş kel
104,0.0,pınar kaynak
105,0.0,i̇natlaşmak
106,0.0,samanından ayrılmış fakat elenmemiş tahıl yığını
107,0.0,yepyeni pırıl pırıl
108,0.0,açılmamış tavuk
109,0.0,çeyiz
110,0.0,domuz yavrusu
111,0.0,ıslanmak
112,0.0,böğürtlen çalılığı
113,0.0,madeni para
114,0.0,tamamen
115,0.0,bozulmuş yumurta
116,0.0,kavgacı oyun bozan
117,0.0,oyun bozmak
118,0.0,aman dil eme k
119,0.0,ağustos böceği
120,0.0,bir çeşit kuş türü
121,0.0,tohumlu bir çeşit bitki
122,0.0,bir çeşit serçe
123,0.0,tırnak izi
124,0.0,sıvı katı olmayan
125,0.0,tahtaravelli
126,0.0,çizgi
127,0.0,geveze yaramaz iyilik bilmez
128,0.0,maki bitkisi çeşidi
129,0.0,tamamen
130,0.0,küçük helkecik
131,0.0,i̇şe yaramaz
132,0.0,baykuş
133,0.0,hindi
134,0.0,kısa boylu
135,0.0,sigara
136,0.0,civciv
137,0.0,hartlap ağacının meyvesi
138,0.0,cevap
139,0.0,genellikle tarlaları temizlemek toplanan taş yığını
140,0.0,közde pişmiş et
141,0.0,yolların çakıştığı yer
142,0.0,melez
143,0.0,kuş avlamak kullanılan lastiklerde içine taş konulan deri bölüm
144,0.0,bir böcek türü
145,0.0,oğlağın büyüğü
146,0.0,teke
147,0.0,çekirge
148,0.0,ölçek
149,0.0,tahtadan yapılmış kg buğday alabilen tahıl ölçeği
150,0.0,pirincin tarladaki hali
151,0.0,cevizin yarısı
152,0.0,bulaşık
153,0.0,traktörde römorkun üzerine tahtalarla ilave yapılmış şekli bir çeten saman
154,0.0,fidan
155,0.0,akarsu yatağında büyük virajlar nedeniyle suyun bir süre ters akıp tekrar
156,0.0,yumurtayla yapılan bir yemek türü
157,0.0,tutam
158,0.0,menengiç bir bitki
159,0.0,kırılması zor olan ceviz çıtırık
160,0.0,pamuk tohumu
161,0.0,yıkanmak
162,0.0,serçe
163,0.0,küçük parça
164,0.09221020115720199,bir anda
165,0.0,sürahi
166,0.0,i̇çi kalaylı küçük bakır bakraç litre su alır
167,0.0,tarla bahçelerin kenarındaki çitleri örmek kullanılan çalılar
168,0.0,taşlarla oynanan bir oyun
169,0.0,ağacın kollarının ilk ayrıldığı yer
170,0.0,büyük tahta kaşık yannıktan iki çömçe ayran al
171,0.0,keçi kılından dokunan yaygı olarak kullanılan düz desensiz dokuma
172,0.0,davulun tokmağı
173,0.0,tohumlu bir ağaç
174,0.0,yukarı doğru
175,0.0,cepken
176,0.0,ev
177,0.0,tohumluk
178,0.0,dolma tüfeğin kötüsü
179,0.0,dantel
180,0.0,tarlanın nemini alması
181,0.0,küçük bir hareket kıpırtı
182,0.0,payandalık yapmak dayak durda unlukları beygire yükleyelim
183,0.0,eskimek
184,0.0,önce
185,0.0,başla bakayım
186,0.0,mahsustan
187,0.0,bak
188,0.0,delilenme
189,0.0,sürekli dönmemek üzere
190,0.0,tekme
191,0.0,tarhana aşı karıştırmaya yarayan aygıt
192,0.0,toplamak
193,0.0,bir sonraki gün
194,0.0,devirde
195,0.0,ötekisinde
196,0.0,teyze
197,0.0,gir
198,0.0,girmek
199,0.0,fazla taşkın
200,0.0,yarık yarık
201,0.0,büyük taş
202,0.0,sıkı
203,0.0,çitler kullanılan ağaç kazıklar bahçenin ağılı bir yük dikeç gerek
204,0.0,anahtar
205,0.0,güzel konuşan
206,0.0,kilitlemek
207,0.0,dur
208,0.0,dinle hele
209,0.0,aniden ortaya çıkmak
210,0.0,ekin sapını patosa atmaya yarayan alet
211,0.0,çekiştirmek
212,0.0,takla
213,0.0,durdu
214,0.0,takla
215,0.0,büyük bakır kazan
216,0.0,çamaşır yıkamak deri perşembe günü anam yuyacak
217,0.0,külot
218,0.0,pilav maraş tarhanası aşure yapımında kullanılan değlipte dövülmüş
219,0.0,oğul
220,0.0,duvak
221,0.0,dut
222,0.0,rüzgarın ulaşmadığı yer
223,0.0,bir şeyin yan tarafı binaların yan tarafı insan yanakları
224,0.0,dökülüyor
225,0.0,bir yemek türü hamurdan yapılır
226,0.0,kümes
227,0.0,dünürcü
228,0.0,tarla payı
229,0.0,doğurmamış dişi sığır
230,0.0,sarımsak döven tokmak
