kelime,anlam
Abara,Değirmene su akıtan oluk
Abbağ,Çok beyaz
Abi,Ağabey.
Acar,Yeni
Acimcik,Çok az
Adı batası,Domuz
Alaf şalaf,Gerekmez ot topluluğu
Ağaz,Hayvanların ilk sütü
Ağal,Bahçe ve ekin kenarını çalıyla çevirme.
Ağar,Ağır
Ağca,"Pamuk ipliğinden dokunan ve üzerine hassas şeyleri (bulgur, pamuk vs)"
Ağzıcığı yumulasıca,Ölesice
Ahacıka,İşte
Ahancık,İşte bu...
Akaba,"Eğim, meyil."
Alaancık,"Gittiği yeri kızartan bir karınca türü Aartı: Ayran, yoğurt ve süt için kullanılır."
Amanat,Emanet.
Alafa gitmek,Düşünmeden gitmek.
Alemençik,Serçeye benzer bir kuş
Aleverti,Boşu boşuna
Aleyciği,Hepsi
Aleyçik,"Çadır, çadır kurulan yer."
Aleyçik,İşçi ya da yayla çadırı
Alkış verme,Dua etme.
Amanat,Emanet
Anaç,Tavuğun yaşlısı
Andız,Bir tür ağaç
Angara,İmece.
Annac,Karşı yamaç
Anşa,Ayşe
Apışma,Durup kalmak (bir durum karşısında)
Arısilli,Tertemiz
Arnı Sakar,Alnının ortasında beyaz
Arzılar,Arzular.
Asbap,"Giysi, çamaşır"
Aşşa,Aşağı
Aval aval,Şaşkın şaşkın
Avarlık,Ticari olmayan sebze bahçesi.
Avcar,"Dolma tüfekleri atışa hazırlamak için kullanılan, kapsül, saçma, barut, kurşun"
Avırt,Yanak
Avrat,"Kadın, eş, karı."
Ayam ayama dolaşıyor,"Başım dönüyor, halsizim"
Ayaz,Soğuk.
Aydöşşeğe,Bir bitki türü
Ayı tapı,"Bir bitki,eğrelti otu"
Aykırı,"Tam tersi, aksi"
Azarlamak,Kızmak.
Azzık,Yiyecek.
Bacanak,Hanımın kız kardeşinin kocası.
Baldır,Bacak.
Baldırcan,Patlıcan
Baldız,Hanımın kız kardeşi.
Balk,Yıldırım
Bambıl,Kokusu kötü bir böcek.
Baştangara,Bir çeşit serçe
Bayır,Eğimli ve ağaçsız yer.
Bazlama,Yufka ekmeğin biraz kalın olanı: Sıcak bazlamanın yenilmesi çok hoştur.
Bedirik,Çeyiz anlamında kullanılan bir söz
Bel,Toprak kazmaya yarayan ucu sivri kürek
Belcene,Kurutulmuş incir.
Belemek,Sarmak.
Belleme,Atların semer veya eğeri çıkarıldıktan sonra üşümemesi için sırtına bağlanan
Bellemek,"Öğrenmek,  Toprağı kazmak."
Berk,"Çok sıkı, fazla.."
Beşirikli,"Elinden iyi iş gelen, eline çabuk."
Beleş,Bedava.
Bıldır,Geçen sene
Bibi,Hala.
Bider,Tohumluk
Birti,Biraz
Bişet,Bir şey
Bişme,Güveç
Bişşek,Yayıkdaki ayranı karıştırmaya yarayan çubuk.
Biyaktan,Az önce
Bocit,Sürahi.
Boduk,Camuz yavrusu
Boğasak,Çiftleşme zamanı gelmiş dişi inek.
Bohça,İçinde giyecek vs. dolu kalın bez.
Bor,Ekin tarlaları arasında ekilip sürülmemiş   otu   bol olan yer
Bostan,"Bağ, bahçe."
Bostan,Salatalık
Boz,Kül rengi.
Börk,Takke
Börkenek,Kapşon
Bukağı,Hayvanların hızlı koşmasını önlemek için iki ayağını birbirine bağlayan ip veya
Buncaaz,"Bu kadar, Bu kadarcık."
Buncalı,Bu sefer
Bunmuak,Bunalmak.
Burgu,Ucu kıvrık ve keskin bıçak.
Buzağı,İnek yavrusu
Buzalamak,İneğin yavrulaması.
Bülük,Erkek çocuk pipisi
Bük,İçine girilemeyen çalılık
Büvelek,"Bir çeşit örümcek türü,hayvanlara iğne atar"
Büvet,Su göleti
Caalak,Çağlayan
Cağlak,Akarsuyun ani eğim nedeniyle hızlı aktığı yer. Şelale kadar dik değil.
Calap,Sulu kar
Callak,"Olgunlaşmamış karpuz, kavun."
Cangama,Laf kalabalığı
Cardın,Büyük fare.
Carsa,Bir kumaş türü
Cascavlak,"Üzerinde hiç birşey olmayan,  kel."
Cavlak,"Soyulmuş, kel"
Caygara,"Pınar, kaynak."
Cebelleşmek,İnatlaşmak.
Cec,Samanından ayrılmış fakat elenmemiş tahıl yığını.
Cecit,"Yepyeni, pırıl pırıl"
Ceflin,Açılmamış tavuk
Cehez,Çeyiz
Cıba,Domuz yavrusu
Cıbıdığı çıkmak,Çok ıslanmak
Cıdır,Böğürtlen çalılığı
Cıkıl,Madeni para
Cıkla,Tamamen
Cılk,Bozulmuş yumurta
Cıllcı,"Kavgacı, oyun bozan"
Cıllımak,Oyun bozmak.
Cır,Aman dil eme k.
Cırlavuk,Ağustos böceği
Cırrık,Bir çeşit kuş türü
Cırtatan,Tohumlu bir çeşit bitki
Cırtbağ,Bir çeşit serçe
Cırtık,Tırnak izi
Cıvık,"Sıvı, katı olmayan"
Cızzan,Tahtaravelli
Cızzık,Çizgi
Cibiliyetsiz,"Geveze, yaramaz, iyilik bilmez"
Cilbirti,Maki bitkisi çeşidi
Cilkes,Tamamen
Citil,Küçük helkecik
Coruk,İşe yaramaz
Cukkuşu,Baykuş
Culluk,Hindi
Cura,Kısa  boylu
Cuvara,Sigara
Cücük,Civciv
